yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
195801,41.70,1.7833,3.2933,0.6328607617,0.0244,0.0360,0.0483,0.0330,0.0298961799,0.002800,0.0070422535,-0.0084,0.0099,0.0007844653,0.0002902673,0.045518,0.044330
195802,40.84,1.7767,3.2167,0.6473904346,0.0153,0.0359,0.0466,0.0325,0.0277510802,0.001200,0.0000000000,0.0100,-0.0008,0.0007362477,0.0006303059,-0.014109,-0.020288
195803,42.10,1.7700,3.1400,0.6685916376,0.0130,0.0363,0.0468,0.0321,0.0289353475,0.000900,0.0069930070,0.0102,-0.0046,0.0005192057,0.0001873211,0.033052,0.029736
195804,43.44,1.7567,3.0700,0.6552450314,0.0113,0.0360,0.0467,0.0311,0.0270182768,0.000800,0.0034722222,0.0186,0.0163,0.0007467616,0.0005917814,0.033511,0.032038
195805,44.09,1.7433,3.0000,0.6455586773,0.0091,0.0357,0.0462,0.0313,0.0228695103,0.001100,0.0000000000,0.0001,0.0031,0.0004331172,0.0003396730,0.021313,0.015503
195806,45.24,1.7300,2.9300,0.6246601698,0.0083,0.0357,0.0455,0.0324,0.0214366176,0.000300,0.0000000000,-0.0160,-0.0038,0.0004382024,0.0007577182,0.027998,0.024897
195807,47.19,1.7300,2.9133,0.5938487843,0.0091,0.0367,0.0453,0.0343,0.0169337992,0.000700,0.0034602076,-0.0278,-0.0153,0.0006956246,0.0009481393,0.043960,0.042418
195808,47.75,1.7300,2.8967,0.5872638264,0.0169,0.0385,0.0467,0.0371,0.0150906290,0.000400,-0.0034482759,-0.0435,-0.0320,0.0005889619,0.0012465824,0.017999,0.013270
195809,50.06,1.7300,2.8800,0.5613711966,0.0244,0.0409,0.0487,0.0380,0.0139834782,0.001900,0.0000000000,-0.0117,-0.0096,0.0005101803,0.0013977792,0.050837,0.047954
195810,51.33,1.7367,2.8833,0.5498692979,0.0263,0.0411,0.0492,0.0374,0.0122789133,0.001800,0.0000000000,0.0138,0.0107,0.0007934750,0.0011634523,0.027370,0.025878
195811,52.48,1.7433,2.8867,0.5358231981,0.0267,0.0409,0.0487,0.0368,0.0115349437,0.001100,0.0034602076,0.0120,0.0105,0.0015302103,0.0015285202,0.028617,0.023385
195812,55.21,1.7500,2.8900,0.5117793198,0.0277,0.0408,0.0485,0.0382,0.0236868316,0.002200,-0.0034482759,-0.0181,-0.0058,0.0007127719,0.0015858124,0.054112,0.051432
